Latitude,Longitude,Altitude
47.2879444,11.4030025,859.185
47.2879439,11.4030031,859.171
47.2879431,11.4030032,859.171
47.2879434,11.4030028,859.098
47.2879437,11.4030028,859.06
47.287944,11.4030028,859.081
47.287944,11.403003,859.078
47.2879439,11.4030029,859.028
47.2879438,11.4030027,859.028
47.2879435,11.4030026,859.025
47.2879433,11.4030027,859.045
47.287943,11.403003,859.082
47.2879427,11.403003,859.091
47.2879426,11.4030032,859.11
47.2879426,11.4030032,859.015
47.2879427,11.4030031,859.005
47.2879426,11.4030031,859
47.2879426,11.4030032,859.047
47.2879426,11.4030033,859.075
47.2879426,11.4030034,859.092
47.2879426,11.4030034,859.116
47.2879429,11.4030035,859.133
47.2879427,11.403004,859.217
47.2879427,11.4030041,859.229
47.2879427,11.4030041,859.239
47.2879428,11.4030045,859.326
47.287943,11.4030045,859.339
47.2879432,11.4030042,859.393
47.2879433,11.4030044,859.465
47.2879434,11.4030048,859.565
47.287944,11.4030053,859.677
47.2879443,11.4030055,859.657
47.2879451,11.4030058,859.604
47.2879454,11.4030072,859.657
47.2879451,11.4030075,859.735
47.2879445,11.4030082,859.86
47.2879444,11.4030083,859.903
47.2879445,11.4030085,859.942
47.2879442,11.403009,860.011
47.2879447,11.4030091,860.012
47.2879443,11.4030094,860.147
47.2879443,11.4030097,860.223
47.287944,11.4030092,860.264
47.2879437,11.4030091,860.303
47.2879438,11.4030089,860.133
47.2879434,11.4030085,860.12
47.2879431,11.4030087,860.108
47.2879429,11.403009,860.101
47.2879429,11.4030091,860.045
47.2879428,11.4030092,860.094
47.2879427,11.4030093,860.121
47.2879426,11.4030095,860.119
47.2879423,11.4030096,860.163
47.2879421,11.4030099,860.172
47.2879418,11.4030101,860.18
47.2879416,11.4030101,860.245
47.2879415,11.4030103,860.278
47.2879413,11.4030103,860.303
47.2879412,11.4030105,860.361
47.287941,11.4030105,860.38
47.2879408,11.4030106,860.421
47.2879407,11.4030106,860.457
47.2879405,11.4030107,860.518
47.2879403,11.4030108,860.529
47.28794,11.4030105,860.532
47.2879398,11.4030107,860.62
47.2879397,11.4030111,860.606
47.2879395,11.4030108,860.592
47.2879393,11.4030107,860.597
47.2879392,11.4030109,860.67
47.2879391,11.4030109,860.575
47.2879391,11.4030107,860.57
47.2879387,11.4030108,860.555
47.2879388,11.4030109,860.585
47.2879388,11.4030111,860.56
47.2879388,11.4030112,860.533
47.2879389,11.4030114,860.549
47.287939,11.403012,860.595
47.2879393,11.4030125,860.606
47.2879396,11.4030134,860.608
47.2879393,11.4030143,860.628
47.2879397,11.4030158,860.695
47.2879398,11.4030163,860.698
47.2879396,11.4030158,860.565
47.2879394,11.4030158,860.632
47.2879393,11.4030158,860.626
47.2879393,11.4030155,860.603
47.2879391,11.4030147,860.612
47.287939,11.4030139,860.555
47.2879391,11.4030136,860.563
47.2879388,11.4030129,860.547
47.2879387,11.4030128,860.471
47.2879387,11.4030128,860.422
47.2879388,11.4030127,860.388
47.2879392,11.4030129,860.422
47.28794,11.4030131,860.386
47.2879403,11.4030134,860.304
47.28794,11.403013,860.323
47.28794,11.4030126,860.331
47.2879404,11.4030129,860.232
47.2879401,11.4030128,860.261
47.2879401,11.4030122,860.255
47.2879403,11.4030123,860.175
47.2879405,11.4030126,860.141
47.2879406,11.4030126,860.189
47.287941,11.4030129,860.087
47.2879415,11.4030131,859.967
47.2879414,11.4030134,859.955
47.2879419,11.4030139,859.882
47.2879416,11.403014,859.86
47.2879415,11.4030142,859.911
47.2879416,11.4030142,859.906
47.2879417,11.4030142,859.919
47.287942,11.4030142,859.973
47.2879421,11.4030139,859.925
47.2879423,11.4030139,859.973
47.2879427,11.4030135,859.964
47.2879426,11.4030133,859.948
47.2879422,11.4030136,860.02
47.2879422,11.4030138,860.059
47.2879419,11.4030138,860.054
47.2879415,11.4030141,860.005
47.2879414,11.4030139,860.022
47.287941,11.4030139,860.144
47.2879405,11.403015,860.05
47.2879405,11.4030167,859.889
47.2879404,11.4030167,859.807
47.2879405,11.4030166,859.884
47.2879406,11.4030169,859.942
47.2879405,11.4030164,859.919
47.2879405,11.4030167,860.021
47.2879404,11.4030166,860.02
47.2879405,11.4030169,860.095
47.2879405,11.4030169,860.113
47.2879405,11.403017,860.12
47.2879405,11.4030171,860.153
47.2879406,11.4030172,860.166
47.2879406,11.4030174,860.22
47.2879407,11.4030175,860.252
47.2879408,11.4030179,860.283
47.2879407,11.4030184,860.306
47.2879409,11.4030187,860.343
47.2879419,11.4030188,860.366
47.2879426,11.4030191,860.423
47.2879427,11.4030196,860.504
47.2879425,11.4030196,860.517
47.287943,11.4030198,860.58
47.2879438,11.40302,860.591
47.2879439,11.4030202,860.608
47.2879441,11.4030209,860.737
47.2879444,11.4030214,860.839
47.2879441,11.4030222,860.9
47.2879435,11.4030227,860.863
47.2879429,11.4030234,860.914
47.2879422,11.4030241,860.986
47.2879419,11.4030248,860.97
47.2879418,11.4030258,860.976
47.2879421,11.4030278,861.011
47.2879422,11.4030285,860.896
47.2879418,11.4030302,860.938
47.2879419,11.4030323,861.107
47.2879431,11.4030345,861.036
47.2879436,11.4030364,861.136
47.287943,11.4030373,860.97
47.287943,11.4030395,861.007
47.2879432,11.4030413,861.077
47.2879436,11.4030434,861.109
47.2879444,11.4030461,861.118
47.2879457,11.4030499,861.206
47.2879461,11.4030528,861.041
47.2879454,11.4030547,860.957
47.2879456,11.4030577,861.018
47.287946,11.4030604,861.009
47.2879458,11.403063,860.974
47.2879464,11.4030667,860.883
47.287947,11.4030711,860.791
47.2879478,11.4030732,860.71
47.2879486,11.4030755,860.65
47.2879492,11.4030792,860.635
47.2879504,11.4030832,860.568
47.2879513,11.4030877,860.68
47.2879506,11.4030904,860.796
47.2879523,11.4030937,860.737
47.2879542,11.4030961,860.514
47.2879552,11.403097,860.328
47.2879548,11.4031008,860.245
47.2879538,11.4031064,860.202
47.2879542,11.4031118,860.298
47.2879536,11.403117,860.315
47.2879526,11.4031225,860.34
47.2879523,11.4031292,860.346
47.2879531,11.403135,860.291
47.2879527,11.4031384,860.206
47.2879532,11.4031418,860.211
47.2879537,11.4031452,860.165
47.2879532,11.4031487,860.258
47.2879528,11.4031513,860.599
47.2879529,11.4031559,861.025
47.2879543,11.4031603,861.17
47.2879549,11.4031634,861.161
47.2879558,11.4031677,861.323
47.2879563,11.4031709,861.31
47.2879575,11.4031733,861.068
47.2879588,11.4031759,860.602
47.2879589,11.4031776,860.5
47.2879584,11.4031805,860.378
47.2879582,11.4031834,860.366
47.2879579,11.4031861,860.257
47.2879562,11.403189,860.147
47.2879583,11.403194,860.335
47.2879587,11.4031982,860.487
47.2879597,11.4032024,860.605
47.2879605,11.4032067,860.764
47.2879619,11.4032105,860.466
47.2879633,11.4032148,860.576
47.2879653,11.4032186,860.901
47.2879675,11.4032227,860.923
47.2879685,11.4032267,860.849
47.2879685,11.4032324,861.187
47.2879689,11.4032364,861.16
47.2879706,11.4032421,861.147
47.2879725,11.403247,861.11
47.287974,11.4032523,861.154
47.2879754,11.4032578,861.194
47.2879765,11.4032624,861.039
47.2879769,11.4032673,860.775
47.2879773,11.403272,860.612
47.2879768,11.4032773,860.689
47.2879767,11.4032829,860.685
47.2879768,11.4032877,860.703
47.2879772,11.4032925,860.734
47.2879774,11.4032983,860.671
47.2879777,11.4033033,860.551
47.2879785,11.4033092,860.68
47.2879785,11.4033163,860.867
47.2879779,11.4033227,860.662
47.2879773,11.4033303,860.764
47.2879767,11.4033374,860.914
47.2879754,11.4033446,861.009
47.2879731,11.4033526,861.242
47.2879718,11.4033602,861.665
47.2879714,11.4033677,861.366
47.2879707,11.4033742,861.37
47.2879693,11.4033822,861.607
47.2879676,11.4033898,861.857
47.2879661,11.4033968,862.056
47.2879645,11.403403,862.387
47.2879632,11.4034108,862.334
47.2879617,11.4034181,862.269
47.28796,11.403425,862.262
47.287958,11.4034333,862.159
47.2879566,11.4034414,862.243
47.2879559,11.4034488,862.305
47.2879564,11.4034568,862.267
47.2879551,11.4034666,862.322
47.287955,11.4034777,862.622
47.2879541,11.4034874,862.713
47.287954,11.4034961,862.775
47.2879534,11.4035059,862.81
47.2879538,11.403516,863.172
47.2879529,11.4035264,863.866
47.2879525,11.4035355,864.391
47.2879512,11.4035436,864.555
47.2879493,11.4035521,864.773
47.287948,11.4035607,864.911
47.2879481,11.4035697,864.687
47.2879475,11.403577,864.162
47.2879454,11.4035841,863.886
47.2879432,11.4035928,863.84
47.2879416,11.4036032,864.138
47.2879402,11.4036103,864.159
47.2879375,11.4036186,864.45
47.2879333,11.403627,864.836
47.287929,11.4036356,865.463
47.2879272,11.4036441,865.887
47.2879263,11.4036514,866.176
47.2879254,11.4036599,866.612
47.2879248,11.4036677,867.143
47.2879248,11.4036748,867.071
47.2879236,11.4036823,867.209
47.2879229,11.4036901,867.288
47.287924,11.4036985,867.238
47.2879233,11.4037067,867.718
47.2879242,11.4037141,867.261
47.2879244,11.4037215,866.798
47.2879246,11.4037286,866.149
47.287925,11.4037369,865.627
47.2879241,11.4037467,865.825
47.2879246,11.4037554,865.147
47.2879235,11.4037644,865.08
47.2879226,11.4037753,865.253
47.2879214,11.4037852,865.114
47.2879201,11.4037947,865.115
47.2879184,11.4038047,865.193
47.2879178,11.4038135,865.34
47.2879149,11.4038202,865.601
47.2879132,11.4038279,865.739
47.2879107,11.4038376,865.427
47.2879088,11.4038469,865.354
47.2879054,11.4038555,865.318
47.2879015,11.4038647,865.267
47.2879009,11.403873,864.865
47.2878992,11.4038815,864.443
47.2878964,11.4038898,864.068
47.2878941,11.4038979,863.555
47.2878929,11.4039078,863.504
47.287891,11.4039168,863.426
47.2878893,11.4039263,863.218
47.2878886,11.4039375,863.107
47.2878857,11.4039467,863.201
47.2878838,11.4039562,862.997
47.2878825,11.4039659,862.834
47.2878827,11.4039742,862.731
47.2878827,11.4039832,862.532
47.2878828,11.4039917,862.426
47.2878831,11.4039986,862.231
47.287884,11.4040045,861.975
47.287886,11.4040111,861.836
47.2878885,11.4040182,861.708
47.2878919,11.4040263,861.644
47.2878946,11.4040337,861.564
47.2878979,11.4040409,861.884
47.2879011,11.4040473,862.187
47.287905,11.4040533,862.32
47.2879081,11.4040605,862.573
47.2879126,11.4040668,862.685
47.287917,11.4040732,862.696
47.2879208,11.40408,862.771
47.287924,11.4040873,862.903
47.2879284,11.4040943,863.16
47.2879316,11.4041003,863.192
47.2879351,11.4041065,863.35
47.2879376,11.4041136,863.604
47.2879422,11.4041213,863.705
47.2879455,11.4041295,863.699
47.2879479,11.4041373,863.585
47.2879498,11.404145,863.778
47.2879505,11.4041515,863.769
47.2879521,11.4041591,863.768
47.2879538,11.4041656,863.559
47.2879546,11.4041729,863.429
47.2879552,11.4041808,863.198
47.2879549,11.4041892,863.154
47.2879561,11.4041968,862.87
47.2879573,11.4042053,862.676
47.2879582,11.4042136,862.433
47.287958,11.404223,862.436
47.2879584,11.4042319,862.432
47.2879583,11.4042404,862.443
47.2879591,11.4042509,862.331
47.2879595,11.4042588,862.149
47.2879583,11.4042673,862.004
47.2879561,11.4042758,861.832
47.2879556,11.4042858,861.598
47.2879563,11.4042936,861.511
47.2879589,11.404302,861.412
47.2879623,11.4043108,861.384
47.2879672,11.4043214,861.47
47.2879706,11.4043331,861.511
47.2879743,11.4043414,861.305
47.2879791,11.404347,861.171
47.287983,11.4043542,861.281
47.2879872,11.4043613,861.178
47.2879909,11.4043685,861.205
47.2879929,11.4043754,861.247
47.2879962,11.4043821,861.286
47.2879999,11.4043894,861.592
47.2880031,11.404396,861.738
47.2880058,11.4044021,861.922
47.2880074,11.4044076,862.188
47.2880094,11.4044132,862.048
47.2880109,11.4044185,861.939
47.2880122,11.4044231,861.408
47.2880134,11.4044292,861.12
47.2880149,11.4044375,861.241
47.2880152,11.4044459,861.644
47.2880162,11.4044545,861.812
47.2880177,11.404462,861.655
47.2880189,11.4044693,861.564
47.2880189,11.4044782,861.755
47.2880186,11.4044875,861.918
47.2880194,11.4044973,861.887
47.2880181,11.4045058,861.907
47.2880182,11.4045147,861.807
47.2880182,11.4045237,861.674
47.2880182,11.4045336,861.489
47.2880179,11.4045437,861.356
47.2880173,11.4045525,861.027
47.2880165,11.404562,860.844
47.2880163,11.4045714,860.638
47.2880161,11.4045803,860.149
47.288016,11.4045898,859.89
47.2880159,11.4046007,859.751
47.288016,11.4046101,859.599
47.2880164,11.404619,859.147
47.2880176,11.4046281,859.131
47.2880181,11.4046363,858.726
47.2880187,11.4046439,858.271
47.2880193,11.4046514,858.08
47.2880212,11.4046602,858.067
