Latitude,Longitude,Altitude
47.2880259,11.4031541,845.563
47.2880258,11.4031549,845.66
47.2880251,11.4031555,845.825
47.288024,11.4031561,846.07
47.2880235,11.4031567,846.225
47.2880239,11.4031569,846.228
47.2880239,11.4031574,846.301
47.2880237,11.4031573,846.398
47.2880237,11.403158,846.49
47.2880227,11.403159,846.705
47.2880215,11.4031597,846.864
47.288021,11.4031605,846.991
47.288021,11.4031612,847.109
47.2880205,11.4031617,847.203
47.2880201,11.4031625,847.341
47.28802,11.403163,847.423
47.2880198,11.4031635,847.51
47.2880192,11.4031638,847.669
47.2880193,11.4031645,847.756
47.2880178,11.4031648,847.996
47.2880169,11.4031652,848.192
47.2880164,11.4031659,848.349
47.2880153,11.4031659,848.545
47.2880144,11.4031666,848.757
47.2880134,11.4031668,848.92
47.2880112,11.4031673,849.24
47.2880102,11.4031675,849.456
47.2880089,11.4031683,849.631
47.288009,11.4031688,849.702
47.2880086,11.4031689,849.748
47.2880095,11.4031693,849.784
47.2880095,11.4031697,849.829
47.2880095,11.4031699,849.878
47.288009,11.4031697,850.028
47.2880082,11.4031705,850.203
47.2880075,11.4031713,850.339
47.2880074,11.4031723,850.438
47.2880064,11.4031729,850.591
47.2880055,11.4031734,850.769
47.2880062,11.4031744,850.777
47.2880056,11.4031756,850.922
47.2880058,11.4031762,850.985
47.2880048,11.4031755,850.866
47.2880028,11.4031745,850.948
47.2880011,11.403175,851.253
47.2879998,11.4031749,851.415
47.2879997,11.4031747,851.398
47.2879999,11.4031752,851.328
47.2879982,11.4031755,851.515
47.2879962,11.4031759,851.756
47.2879946,11.403176,851.906
47.2879935,11.403176,852.021
47.2879937,11.4031758,852.048
47.2879936,11.4031754,852.073
47.2879923,11.4031745,852.231
47.2879906,11.4031735,852.354
47.2879902,11.4031735,852.485
47.2879895,11.4031736,852.62
47.2879878,11.4031724,852.717
47.2879868,11.4031716,852.732
47.2879861,11.4031717,852.653
47.2879859,11.4031699,852.628
47.2879851,11.4031699,852.814
47.2879845,11.4031699,852.892
47.2879833,11.4031693,852.898
47.2879806,11.4031692,852.981
47.2879796,11.4031688,853.128
47.2879795,11.4031695,853.205
47.2879791,11.4031708,853.333
47.2879788,11.4031705,853.58
47.287978,11.4031711,853.676
47.2879768,11.4031706,853.751
47.2879746,11.4031694,853.792
47.2879737,11.4031695,853.838
47.2879742,11.4031694,853.894
47.287975,11.4031708,854.146
47.2879741,11.4031704,854.286
47.2879747,11.4031716,854.401
47.2879738,11.4031705,854.478
47.2879732,11.4031711,854.584
47.2879729,11.4031718,854.696
47.2879731,11.403173,854.771
47.287975,11.4031749,854.716
47.2879757,11.4031758,854.721
47.2879758,11.4031769,854.76
47.2879763,11.4031775,854.797
47.2879764,11.4031779,854.833
47.287977,11.4031781,854.855
47.2879774,11.4031789,854.892
47.2879787,11.4031797,854.913
47.2879799,11.4031791,855.031
47.2879823,11.4031815,855.14
47.2879838,11.4031832,855.155
47.2879862,11.4031857,855.142
47.2879886,11.403187,855.073
47.2879895,11.4031874,855.047
47.2879907,11.4031882,855.163
47.2879916,11.4031893,855.277
47.2879927,11.4031895,855.423
47.2879935,11.40319,855.506
47.2879906,11.4031882,855.495
47.2879937,11.4031902,855.421
47.287994,11.4031893,855.501
47.2879915,11.4031868,855.648
47.2879902,11.4031858,855.777
47.2879911,11.4031853,855.815
47.2879929,11.4031847,855.901
47.2879946,11.4031846,855.824
47.2879955,11.403186,855.895
47.2879927,11.4031836,856.173
47.2879939,11.4031838,856.283
47.2879937,11.4031827,856.362
47.287993,11.4031786,856.145
47.2879933,11.4031763,855.973
47.2879917,11.403175,856.14
47.2879903,11.4031761,856.436
47.287991,11.4031765,856.382
47.2879918,11.4031769,856.296
47.2879921,11.4031773,856.278
47.2879921,11.4031772,856.359
47.2879916,11.4031765,856.452
47.2879909,11.4031757,856.628
47.2879909,11.4031764,856.699
47.28799,11.4031755,856.785
47.2879883,11.4031741,856.824
47.287986,11.403172,856.999
47.2879843,11.4031694,857.165
47.2879791,11.4031635,857.556
47.2879748,11.4031577,857.79
47.2879787,11.4031606,857.966
47.2879827,11.4031635,857.98
47.2879844,11.4031645,857.664
47.2879858,11.4031659,857.789
47.2879877,11.4031676,857.528
47.2879896,11.4031706,857.384
47.2879909,11.403173,857.365
47.2879918,11.4031742,857.21
47.2879896,11.4031726,857.531
47.2879891,11.4031711,857.626
47.2879878,11.4031697,857.98
47.287989,11.4031699,858.009
47.2879896,11.4031699,857.952
47.2879899,11.4031697,857.836
47.287993,11.4031702,857.215
47.287994,11.4031707,857.316
47.2879976,11.4031719,856.831
47.2879988,11.4031719,856.731
47.2880013,11.403173,856.482
47.2880037,11.4031735,856.18
47.288005,11.4031733,856.044
47.2880064,11.4031734,855.879
47.2880061,11.4031707,855.81
47.2880067,11.4031696,855.658
47.2880087,11.4031706,855.386
47.2880099,11.4031717,855.238
47.2880107,11.4031719,855.173
47.2880118,11.4031715,854.988
47.2880121,11.4031706,854.927
47.288012,11.4031695,854.849
47.2880116,11.4031687,854.79
47.2880118,11.4031689,854.716
47.2880117,11.4031677,854.694
47.2880117,11.4031673,854.67
47.2880112,11.4031664,854.658
47.2880117,11.4031656,854.55
47.288011,11.4031649,854.452
47.28801,11.4031651,854.489
47.2880105,11.403166,854.606
47.2880085,11.403164,854.685
47.2880052,11.4031611,854.688
47.2880031,11.4031592,854.853
47.2880008,11.4031576,854.92
47.2879986,11.4031563,855.078
47.2879966,11.4031546,855.306
47.2879942,11.4031529,855.414
47.2879911,11.4031506,855.635
47.2879886,11.4031487,855.794
47.2879869,11.4031479,855.938
47.2879847,11.4031465,856.184
47.2879828,11.4031452,856.471
47.2879811,11.403144,856.6
47.2879789,11.4031423,856.907
47.2879778,11.4031412,856.996
47.2879753,11.4031394,857.164
47.2879735,11.4031382,857.375
47.2879703,11.4031367,857.654
47.2879682,11.403135,857.959
47.2879657,11.4031338,858.241
47.2879613,11.4031326,858.62
47.2879589,11.4031325,858.658
47.2879582,11.4031324,858.722
47.2879569,11.4031332,858.792
47.2879547,11.4031334,858.796
47.2879534,11.4031341,858.824
47.2879529,11.4031353,858.838
47.2879521,11.4031364,858.862
47.2879503,11.4031375,858.917
47.2879488,11.4031381,858.933
47.2879484,11.4031393,858.782
47.2879466,11.4031402,858.86
47.2879456,11.40314,858.8
47.2879452,11.4031427,858.7
47.2879438,11.4031443,858.716
47.2879428,11.4031457,858.761
47.2879433,11.403146,858.714
47.2879432,11.403149,858.769
47.2879422,11.4031511,858.874
47.2879423,11.4031524,858.953
47.2879418,11.4031546,858.973
47.2879415,11.4031552,859.013
47.2879387,11.4031554,858.865
47.2879365,11.4031568,858.805
47.2879347,11.4031586,858.502
47.2879337,11.403162,858.348
47.2879317,11.4031654,858.242
47.2879289,11.4031677,858.039
47.2879262,11.4031693,857.92
47.2879213,11.4031704,857.838
47.2879168,11.40317,857.779
47.2879148,11.4031714,857.735
47.2879126,11.403175,857.676
47.2879112,11.4031752,857.399
47.2879097,11.4031767,857.245
47.2879083,11.4031791,857.175
47.2879076,11.40318,857.017
47.2879085,11.4031854,856.858
47.2879085,11.4031915,856.687
47.2879089,11.4031996,856.503
47.2879082,11.4032046,856.454
47.2879101,11.4032085,856.268
47.2879094,11.4032134,856.148
47.2879093,11.4032197,856.11
47.2879081,11.4032234,856.178
47.2879078,11.4032276,856.141
47.2879072,11.4032308,856.086
47.2879087,11.4032322,855.771
47.2879122,11.4032333,855.241
47.2879137,11.4032381,854.95
47.2879166,11.4032429,854.474
47.2879164,11.4032496,854.114
47.2879158,11.403254,853.965
47.2879145,11.4032566,853.764
47.2879151,11.403258,853.664
47.2879126,11.4032576,853.69
47.2879139,11.4032593,853.476
47.2879141,11.4032598,853.625
47.2879131,11.4032582,853.697
